Rom	Game Title (Optimized)	Recommended Emulator	Pi 3B+ (OC 1700)	FPS	Visuals	Audio	Controls	Notes
megat3	Megatouch III	lr-mame	x	o	o	o	tb	Need newest MAME to see black cards in Run 21.
megat4	Megatouch IV	lr-mame	x	o	o	o	tb	Need newest MAME to see black cards in Run 21.
megat5	Megatouch 5	lr-mame	x	o	o	o	tb	Need newest MAME to see black cards in Run 21.
megat6	Megatouch 6	lr-mame	x	o	o	o	tb	Need newest MAME to see black cards in Run 21.
megatack	Megatack	lr-mame2016	o	o	o	o	o	
megazone	Mega Zone	lr-fbneo	o	o	o	o	o	
meijinsn	Meijinsen	lr-fbneo	o	o	o	o	o	
meosism	Meosis Magic	lr-fbneo	o	o	o	o	o	
mercs	Mercs	lr-fbneo	o	o	o	o	o	
merlinmm	Merlins Money Maze	lr-fbneo	o	o	o	o	o	
mermaid	Mermaid	lr-mame2016	o	o	o	o	o	
metafox	Meta Fox	lr-fbneo	o	o	o	o	o	
metalb	Metal Black	lr-fbneo	o	o	o	o	o	
metamrph	Metamorphic Force	lr-fbneo	o	o	o	o	o	
metlclsh	Metal Clash	lr-fbneo	o	o	o	o	o	
metlfrzr	Metal Freezer	lr-fbneo	o	o	o	o	o	
metlhawk	Metal Hawk	lr-fbneo	o	o	o	o	o	
metlsavr	Metal Saver	lr-fbneo	o	o	o	o	o	
metmqstr	Metamoqester	lr-fbneo	o	o	o	o	o	Clone: (nmaster)
metrocrs	Metro-Cross	lr-fbneo	o	o	o	o	o	
mf_bdash	Boulder Dash (Max-a-Flex)	lr-mame	o	o	o	o	o	
mf_brist	Bristles	lr-mame	o	o	o	o	o	
mf_flip	Flip & Flop	lr-mame2016	o	o	o	o	o	Software overlay
mfjump	Monster Farm Jump	lr-mame2016	x	o	o	o	o	Sega Titan
mgakuen	[Adult] Mahjong Gakuen	lr-fbneo	o	o	o	o	kb	
mgakuen2	[Adult] Mahjong Gakuen 2	lr-fbneo	o	o	o	o	kb	
mgcldtex	Magical Date EX	lr-mame2016	x	o	o	o	o	Sega Titan. Some quiz questions have Japanese questions.
mgcrystl	Magical Crystals	lr-fbneo	o	o	o	o	o	
mgion	[Adult] Gionbana	lr-mame	o	o	o	o	o	
mgolf	[Proto] Atari Mini Golf	lr-mame	o	o	o	o	o	
mhavoc	Major Havoc	lr-mame	o	o	o	o	sp	Best  with spinner or trackball
mhavocp	[Proto] Major Havoc	lr-mame	o	o	o	o	sp	Best  with spinner or trackball
mia	M.I.A. - Missing in Action	lr-fbneo	o	o	o	o	o	
midres	Midnight Resistance	lr-fbneo	o	o	o	o	o	
miexchng	Money Puzzle Exchanger	lr-fbneo	o	o	o	o	o	NEO-GEO
mightguy	Mighty Guy	lr-fbneo	o	o	o	o	o	
mikie	Mikie	lr-fbneo	o	o	o	o	o	
milliped	Millipede	lr-fbneo	o	o	o	o	o	
mimonkey	Mighty Monkey	lr-fbneo	o	o	o	o	o	
minasan	Minasan no Okagesama Desu!	lr-fbneo	o	o	o	o	o	NEO-GEO
minefld	Minefield	lr-fbneo	o	o	o	o	o	
mineswpr	Mine Sweeper	lr-fbneo	o	o	o	o	o	2 players required
minferno	Inferno (Meadows)	lr-mame2016	o	o	o	o	o	
minigolf	Mini Golf	lr-mame	o	o	o	o	o	
minivadr	Minivader (Test Board)	lr-fbneo	o	o	o	o	o	No audio is by design. This was a test board supplied with several Taito arcade cabinets
mirage	Mirage Youjuu Mahjongden	lr-fbneo	o	o	o	o	o	
mirax	Mirax	lr-fbneo	o	o	o	o	o	
mirninja	Mirai Ninja	lr-fbneo	o	o	o	o	o	
misncrft	Mission Craft	lr-fbneo	o	o	o	-	o	Playing, but music is much louder than SFX. No way to adjust
missb2	[Adult] Miss Bubble II	lr-fbneo	o	o	o	o	o	Clone: (bublpong)
missile	Missile Command	lr-mame2016	o	o	o	o	o	
missmw96	[Adult] Miss Mister World '96	lr-fbneo	o	o	o	o	o	
missw02	[Adult] Miss World 2002	lr-fbneo	o	o	o	o	o	
missw96	[Adult] Miss World '96	lr-fbneo	o	o	o	o	o	
mj4simai	[Adult] Wakakusa Monogatari Mahjong Yonshimai	lr-fbneo	o	o	o	o	kb	
mjgtaste	[Adult] Mahjong G-Taste	lr-fbneo	o	o	o	o	kb	
mjkjidai	[Adult] Mahjong Kyou Jidai	lr-fbneo	o	o	o	o	kb	
mjleague	Major League	lr-fbneo	o	o	o	o	o	R-analog stick to swing bat
mjnquest	Mahjong Quest	lr-fbneo	o	o	o	o	o	
mjnquestb	Mahjong Quest (Clean)	lr-fbneo	o	o	o	o	o	
mk	Mortal Kombat	lr-fbneo	o	o	o	o	o	
mk2	Mortal Kombat II	lr-fbneo	o	o	o	o	o	
mk2p	Mortal Kombat II+ (Hack)	lr-fbneo		o	o	o	o	Hack of (mk2)
mk3	Mortal Kombat 3	lr-fbneo	o	o	o	o	o	Audio volume seems lower than other games
mk4	Mortal Kombat 4	lr-mame2016	!	x	o	o	o	
mkprot9	[Proto] Mortal Kombat	lr-fbneo	o	o	o	o	o	
mmagic	Monkey Magic	lr-fbneo	o	o	o	o	o	Download/install samples
mmatrix	Mars Matrix	lr-fbneo	o	o	o	o	o	
mmaulers	Monster Maulers	lr-fbneo	o	o	o	o	o	Clone: (dadandrn)
mmaze	Marchen Maze	lr-fbneo	o	o	o	o	o	
mmonkey	Minky Monkey	lr-fbneo	o	o	o	o	o	
mmpanic	Monkey Mole Panic	lr-mame2016	o	o	o	o	o	Controls for 9 buttons mapped to stick buttons and keyboard. Hit TAB and view game controls
mmpork	Muchi Muchi Pork!	lr-mame2016	?	-	o	o	o	Cave Shooter. MAME 2016 for best performance
mnight	Mutant Night	lr-fbneo	o	o	o	o	o	Very quiet audio, but works
moegonta	[Adult] Moeyo Gonta!!	lr-fbneo	o	o	o	o	o	
mofflott	Maze of Flott	lr-fbneo	o	o	o	o	o	
moguchan	Mogu Chan	lr-fbneo	o	o	x	o	o	Incorrect colors on all versions of MAME
mogura	Mogura Desse	lr-fbneo	o	o	o	o	o	
mole	Mole Attack	lr-fbneo	o	o	o	o	o	Controls for 9 buttons mapped to stick buttons and keyboard. Hit TAB and view game controls
momoko	Momoko 120%	lr-fbneo	o	o	o	o	o	
monopldx	Monopoly Deluxe	lr-mame2016	o	o	o	o	tb	British touchscreen quiz game
monopoly	Monopoly	lr-mame2016	o	o	o	o	tb	British touchscreen quiz game
monsterb	Monster Bash	lr-mame2016	o	o	o	o	o	Download/install samples
montecar	Monte Carlo	lr-mame2016	o	o	o	o	-	4 buttons for shifting...
monymony	Money Money	lr-mame2016	o	o	o	o	o	
moomesa	Wild West C.O.W.-Boys of Moo Mesa	lr-fbneo	o	o	o	o	o	Alt ROM name: (moo)
moonal2	Galaxian (Hack: Moon Alien Part 2)	lr-fbneo	o	o	o	o	o	It's Galaxian with modified graphics, guided missile and an energy bar
moonaln	Galaxian (Hack: Moon Alien)	lr-fbneo	o	o	o	o	o	It's Galaxian with modified graphics, guided missile and more irratic bad guys
mooncrst	Moon Cresta	lr-fbneo	o	o	o	o	o	Clone: (sstarcrs) (smooncrs) (fantazia) (mooncptc) (mooncmw) (sirio2) (spcdrag) (spctbird) (eagle) (starfgmc) (stera)
moonqsr	Moon Cresta (Bootleg: Moon Quasar)	lr-fbneo	o	o	o	o	o	
moonwar	Moonwar	lr-fbneo	o	o	o	o	o	
moonwarp	[Proto] Moon War	lr-fbneo	o	o	o	o	o	
moremore	More More	lr-fbneo	o	o	o	o	o	
moremorp	More More Plus	lr-fbneo	o	o	o	o	o	
mosaic	Mosaic	lr-fbneo	o	o	o	o	o	
mosaicf2	[Adult] Mosaic	lr-fbneo	o	o	o	o	o	
moshougi	Shougi no Tatsujin: Master of Shougi	lr-fbneo	o	o	o	o	o	NEO-GEO
motos	Motos	lr-fbneo	o	o	o	o	o	
mouja	Mouja	lr-mame2016	o	o	o	o	o	
mouseatk	[Ticket] Mouse Attack	lr-mame	o	o	o	o	o	
mouser	Mouser	lr-fbneo	o	o	o	o	o	
mp_bio	Bio-Hazard Battle	lr-mame2016	o	o	o	o	o	SEGA Mega-Play
mp_sonic	Sonic the Hedgehog	lr-mame2016	x	o	o	o	o	
mpang	Mighty! Pang	lr-fbneo	o	o	o	o	o	
mpatrol	Moon Patrol	lr-fbneo	o	o	o	o	o	Clone: (mranger)
mplanets	Mad Planets	lr-fbneo	o	o	o	o	o	Use L/R bumpers to rotate ship
mrdig	Mr. Dig	lr-fbneo	o	o	o	o	o	
mrdo	Mr. Do!	lr-fbneo	o	o	o	o	o	Clone: (mrlo)(mrdu)(yankeedo)(mrdoy)(mrdot)(mrdofabr)
mrdrillr	Mr. Driller	lr-mame2016	x	x	o	o	o	
mrflea	Mr. F. Lea	lr-fbneo	o	o	o	o	o	
mrgoemon	Mr. Goemon	lr-fbneo	o	o	o	o	o	
mrjong	Mr. Jong	lr-fbneo	o	o	o	o	o	Clone: BlockBuster (blkbustr)(crazyblk)
mrkicker	Mr. Kicker	lr-fbneo	o	o	o	o	o	
mrkougar	Mr. Kougar	lr-fbneo	o	o	o	o	o	
mrtnt	Mr. TNT	lr-fbneo	o	o	o	o	o	Clone: Gorkans
mrviking	Mister Viking	lr-fbneo	o	o	o	o	o	
msbingo	[Adult] Miss Bingo	lr-fbneo	o	o	o	o	o	
mschamp	Ms. Pac-Man (Hack: Super Zola Pac Gal)	lr-fbneo	o	o	o	o	o	
msgogo	Mouse Shooter Gogo	lr-fbneo	o	o	o	o	o	
msgundam	Mobile Suit Gundam Final Shooting	lr-fbneo	o	o	o	o	o	
msh	Marvel Super Heroes	lr-fbneo	o	o	o	o	o	
msheartb	Ms. Pac-Man (Hack: Heartburn)	lr-fbneo	o	o	o	o	o	
mshuttle	Moon Shuttle	lr-fbneo	o	o	o	o	o	
mshvsf	Marvel Super Heroes vs. Street Fighter	lr-fbneo	o	o	o	o	o	
msisaac	Metal Soldier Isaac II	lr-fbneo	o	o	o	o	o	MAME reports protection in place. Need to evaluate deeper, since game does run.
mslider	Monster Slider	lr-fbneo	o	o	o	o	o	
mslug	Metal Slug	lr-fbneo	o	o	o	o	o	NEO-GEO
mslug2	Metal Slug 2	lr-fbneo	o	o	o	o	o	NEO-GEO
mslug3	Metal Slug 3	lr-fbneo	o	o	o	o	o	NEO-GEO; Custom cabinet
mslug4	Metal Slug 4	lr-fbneo	o	o	o	o	o	NEO-GEO
mslug5	Metal Slug 5	lr-fbneo	o	o	o	o	o	NEO-GEO
mslugx	Metal Slug X	lr-fbneo	o	o	o	o	o	NEO-GEO
mspacman	Ms. Pac-Man	lr-fbneo	o	o	o	o	o	Perfect
mspacpls	Ms. Pac-Man (Hack: Plus)	lr-fbneo	o	o	o	o	o	
mspuzzle	Miss Puzzle	lr-fbneo	o	o	o	o	o	
msword	Magic Sword	lr-fbneo	o	o	o	o	o	
mtlchamp	Martial Champion	lr-fbneo	?	o	o	o	o	
mtrap	Mouse Trap	lr-mame2016	o	o	o	o	o	
mtwins	Mega Twins	lr-fbneo	o	o	o	o	o	Clone: (chikij)
mugsmash	Mug Smashers	lr-fbneo	o	o	o	o	o	
multchmp	[Adult] Multi Champ	lr-fbneo	o	o	o	o	o	
multigam	Multi Game	lr-mame2016	o	o	o	o	o	NES games
multigm2	Multi Game II	lr-mame2016	o	o	o	o	o	NES games
multigm3	Multi Game III	lr-mame2016	o	o	o	o	o	NES games
mushisam	Mushihime-Sama	lr-mame2016	!	-	o	o	o	MAME 2016 for best performance + CPU Overclock to 39%
mushitam	Puzzle! Mushihime-Tama	lr-mame2016		-	o	o	o	Cave Shooter. MAME 2016 for best performance
musicbal	Music Ball	lr-fbneo	o	o	o	o	o	
musobana	[Adult] Musoubana	lr-mame	o	o	o	o	kb	
mustache	Mustache Boy	lr-fbneo	o	o	o	o	o	Needs BIOS T5182
mustang	US AAF Mustang	lr-fbneo	o	o	o	o	o	Need 2015 for music
mutanat	Mutation Nation	lr-fbneo	o	o	o	o	o	NEO-GEO
mutantf	Mutant Fighters Death Brade	lr-fbneo	o	o	o	o	o	Clone of (deathbrd)
mvp	M.V.P.	lr-fbneo	o	o	o	o	o	
mvsc	Marvel vs. Capcom	lr-fbneo	o	o	o	o	o	
mwalk	Michael Jackson's Moonwalker	lr-fbneo	o	o	o	o	o	
mwarr	Mighty Warriors	lr-fbneo	o	o	o	o	o	
mx5000	MX 5000	lr-fbneo	o	o	o	o	o	Clone: (flkatck)
myangel	[Quiz] Kosodate Quiz My Angel	lr-fbneo	o	o	o	o	o	
myangel2	[Quiz] Kosodate Quiz My Angel 2	lr-fbneo	o	o	o	o	o	
myhero	My Hero	lr-fbneo	o	o	o	o	o	Clone: (sscandal)
myqbert	Q*Bert (Mellow Yellow)	lr-fbneo	o	o	o	o	o	
mysticm	Mystic Marathon	lr-mame2016	o	o	o	o	o	
mysticri	Mystic Riders	lr-fbneo	o	o	o	o	o	Clone: (gunhohki)
mystston	Mysterious Stones	lr-fbneo	o	o	o	o	o	
mystwarr	Mystic Warriors	lr-fbneo	o	o	o	o	o	
nam1975	NAM-1975	lr-fbneo	o	o	o	o	o	NEO-GEO
nametune	Name That Tune	lr-mame2016	o	o	o	o	o	
naname	Naname de Magic!	lr-fbneo	o	o	o	o	o	
narc	NARC	lr-fbneo	o	o	o	o	o	
nastar	Nastar	lr-fbneo	o	o	o	o	o	Rastan Saga II (terrible)
natodef	Nato Defense	lr-fbneo	o	o	o	o	o	Download/install samples
natodefa	Nato Defense (Alternate Mazes)	lr-mame2016	o	o	o	o	o	Possible clone for lr-fbneo
naughtyb	Naughty Boy	lr-fbneo	o	o	o	o	o	
navarone	Navarone	lr-fbneo	o	o	o	o	o	Software overlay being used
nbahangt	NBA Hangtime	lr-fbneo	o	o	o	-	o	Long-press Start. Select GAME VOLUME ADJ. and raise vol.
nbajam	NBA Jam	lr-fbneo	o	o	o	o	o	
nbajamex	NBA Jam Extreme	lr-mame2016	!	o	o	x	o	Sega Titan. lr-mame w/correct ROM has sound, but bad performance in Pi4B.
nbajamte	NBA Jam Tournament Edition	lr-fbneo	o	o	o	o	o	
nbamht	NBA Maximum Hangtime	lr-fbneo	o	o	o	-	o	Original ROM name: (nbamaxht) Long-press Start. Select VOLUME ADJUST and raise vol.
nbbatman	Ninja Baseball Batman	lr-fbneo	o	o	o	o	o	Clone: (leaguemn)
ncombat	Ninja Combat	lr-fbneo	o	o	o	o	o	NEO-GEO
ncommand	Ninja Commando	lr-fbneo	o	o	o	o	o	NEO-GEO
ncv1	Namco Classic Collection Vol.1	lr-mame2016	o	o	o	o	o	
ncv2	Namco Classic Collection Vol.2	lr-mame2016	o	o	o	o	o	
nebulray	Nebulas Ray	lr-mame2010	x	o	o	o	o	namcona1.c driver does not work with lr-mame or lr-mame2016 (black screen). 2015 too slow.
neckneck	[Ticket] Neck-N-Neck	lr-mame	o	o	o	o	o	
nemo	Nemo	lr-fbneo	o	o	o	o	o	
neobattl	SD Gundam Neo Battling	lr-fbneo	o	o	o	o	o	
neobombe	Neo Bomberman	lr-fbneo	o	o	o	o	o	NEO-GEO
neocup98	NeoGeo Cup '98	lr-fbneo	o	o	o	o	o	NEO-GEO
neodrift	Neo Drift Out	lr-fbneo	o	o	o	o	o	NEO-GEO
neomrdo	Neo Mr. Do!	lr-fbneo	o	o	o	o	o	NEO-GEO
neon	[Homebrew] Neon	lr-fbneo	o	o	o	o	o	
neonopon	[Homebrew] Neo no Panepon	lr-fbneo	o	o	o	o	o	
neopong	[Homebrew] Neo Pong	lr-fbneo	o	o	o	o	o	
neotet	[Homebrew] Neo Tetris	lr-fbneo	o	o	o	o	o	
neothndr	[Homebrew] Neo Thunder	lr-fbneo	o	o	o	o	o	
netwars	Net Wars	lr-fbneo	o	o	o	o	o	
newfant	[Adult] New Fantasia	lr-fbneo	o	o	o	o	o	
newpuc2	Pac-Man (Bootleg: Newpuc2)	lr-fbneo	o	o	o	o	o	Pac-Man Pirates...
newpuckx	Pac-Man (Bootleg: New Puck-X)	lr-fbneo	o	o	o	o	o	Pac-Man Pirates...
news	News	lr-fbneo	o	o	o	o	o	
newsin7	New Sinbad 7	lr-fbneo	o	o	o	o	o	
newtangl	New Tropical Angel	lr-fbneo	o	o	o	o	o	
newxpang	New Cross Pang	lr-fbneo	o	o	o	o	o	
ngem2k	[Homebrew] NGem2K 	lr-fbneo	o	o	o	o	o	
ngfrog	[Homebrew] Frog Feast	lr-fbneo	o	o	o	o	o	
ngtbunny	[Adult] Night Bunny	lr-mame2016	o	o	o	o	kb	Audio issues with lr-mame
nhidctch	New Hidden Catch (Korea)	lr-fbneo	?	o	o	o	o	
nibbler	Nibbler	lr-fbneo	o	o	o	o	o	
nightgal	[Adult] Night Gal	lr-mame2016	o	o	o	o	kb	Audio issues with lr-mame
nightstr	Night Striker	lr-fbneo	o	o	o	o	o	
ninclown	Ninja Clowns	lr-mame2016	o	o	o	o	o	
ninja	Ninja	lr-fbneo	o	o	o	o	o	
ninjak	Ninja Kids, The	lr-fbneo	o	o	o	o	o	
ninjakd2	Ninja-Kid II	lr-fbneo	o	o	o	o	o	Clone: (jt104)
ninjakun	Ninjakun Majou No Bouken	lr-mame2016	o	o	o	o	o	Annoying beep during initialization
ninjamas	Ninja Master's: Hoah Ninpou-Chou	lr-fbneo	o	o	o	o	o	NEO-GEO
ninjaw	Ninja Warriors, The	lr-fbneo	o	o	o	o	o	Triple monitors emulated, like Darius
ninjemak	Ninja Emaki	lr-fbneo	o	o	o	o	o	Clone: (youma)(youma2)
nitd	Nightmare in the Dark	lr-fbneo	o	o	o	o	o	NEO-GEO
nitedrvr	Night Driver	lr-fbneo	o	o	o	o	o	Download/install samples
nitrobal	Nitro Ball	lr-fbneo	o	o	o	o	o	Clone: (gunball). SMASH TV meets American football. Very minor header issue early in the game, but not a big deal.
niyanpai	[Adult] Niyanpai	lr-mame	o	o	o	o	o	
nmg5	[Adult] Multi 5	lr-fbneo	o	o	o	o	o	
nmouse	Naughty Mouse	lr-fbneo	o	o	o	o	o	
noahsark	Noah's Ark	lr-mame2016	o	o	o	o	o	
nob	Noboranka	lr-mame2016	o	o	o	o	o	Original ROM name: (noboranb)
nomnlnd	No Man's Land	lr-mame2016	o	o	o	o	o	
nost	Nostradamus	lr-fbneo	o	o	o	o	o	Vertical shooter with a stupid name
nouryoku	Nouryoku Koujou Iinkai	lr-fbneo	o	o	o	o	o	It's in Japanese, but can figure out a few things without comprehension.
nova2001	Nova 2001	lr-fbneo	o	o	o	o	o	
nrallyx	New Rally-X	lr-fbneo	o	o	o	o	o	
nratechu	Neratte Chu	lr-mame2016	o	o	o	o	o	
nslasher	Night Slashers (Korea)	lr-fbneo	o	o	o	o	o	
nspirit	Ninja Spirit	lr-fbneo	o	o	o	o	o	
nstocker	Night Stocker	lr-mame2016	o	o	o	o	lg	
nsub	N-Sub	lr-mame	o	o	o	o	o	Download/install samples
numanath	Numan Athetics	lr-mame2010	o	o	o	o	o	namcona1.c driver does not work with lr-mame or lr-mame2016 (black screen). 2015 too slow.
nvs_machrider	Vs. Mach Rider	lr-mame	o	o	-	o	o	Old ROM name: (machridr); Some issues with road edges not seen on PCB footage
nvs_mightybj	Vs. Mighty Bomb Jack	lr-mame	o	o	o	o	o	Old ROM name: (mightybj)
nvs_platoon	Vs. Platoon	lr-mame	o	o	o	o	o	Old ROM name: (platoon)
nwarr	Night Warriors: Darkstalker's Revenge	lr-fbneo	o	o	o	o	o	
nycaptor	N.Y. Captor	lr-mame2016	o	o	x	x	lg	
nyny	New York! New York!	lr-mame2016	o	o	o	o	o	
nzeroteam	New Zero Team	lr-fbneo	o	o	o	o	o	
offroad	Ironman Ivan Stewart's Super Off-Road	lr-fbneo	o	o	o	o	o	Triggers or button for nitro
offroadc	Off Road Challenge	lr-mame2016	x	-	o	o	o	Lower CPU to the 30% range for improved performance.
offroadt	Ironman Ivan Stewart's Super Off-Road Track-Pak	lr-mame2016	o	o	o	o	o	Triggers or button for nitro. Clone could be added to lr-fbneo
offtwall	Off the Wall (Atari)	lr-mame2016	o	o	o	o	tb	Might need to adjust sensitivity and speed via MAME Analog Controls
ohmygod	Oh My God!	lr-fbneo	o	o	o	o	o	
ohpaipee	[Adult] Oh! Paipee	lr-mame	o	o	o	o	o	
oisipuzl	Oishii Puzzle Ha Irimasenka	lr-fbneo	o	o	o	o	o	
ojousan	[Adult] Ojousan	lr-mame	o	o	o	o	kb	
olds	Oriental Legend Special	lr-fbneo	o	o	o	o	o	
oldsplus	Oriental Legend Special Plus	lr-fbneo	o	o	o	o	o	
olibochu	Oli-Boo-Chu	lr-fbneo	o	o	-	o	o	Colors not accurate on any emulator (still looks fine)
omega	Omega	lr-fbneo	o	o	o	o	o	
omegaf	Omega Fighter	lr-mame2016	o	o	o	o	o	
omegafs	Omega Fighter Special	lr-mame2016	o	o	o	o	o	
omegrace	Omega Race	lr-mame	o	o	o	o	o	Clone: (deltrace)
omotesnd	[Adult] Omotesandou	lr-mame	o	o	o	o	kb	
oneshot	One Shot One Kill	lr-fbneo	o	o	o	o	lg	
onetwo	[Adult] One + Two	lr-fbneo	o	o	o	o	o	
onna34ro	Typhoon Gal	lr-fbneo	o	o	o	o	o	
opaopa	Opa Opa	lr-mame2016	o	o	o	o	o	
openice	2 On 2 Open Ice Challenge	lr-fbneo	x	o	o	-	o	With fbneo, long-press Start. Select VOLUME ADJUST and raise vol.
opwolf	Operation Wolf	lr-fbneo	o	o	o	o	lg	
opwolf3	Operation Wolf 3	lr-fbneo	o	o	o	o	?	Need to configure P2 gun controls
orangec	[Adult] Orange Club	lr-mame	o	o	o	o	kb	
orbit	Orbit	lr-mame2016	o	o	o	o	-	Need keyboard to select a mode. Z-comma + a-s.
orbitron	Orbitron	lr-fbneo	o	o	o	o	o	
orbs	Orbs	lr-fbneo	o	o	o	o	o	
ordyne	Ordyne	lr-fbneo	o	o	o	o	o	
orlegend	Oriental Legend	lr-fbneo	o	o	o	o	o	PGM
orunners	Outrunners	lr-mame2016	x	o	o	o	o	Good performance on 4B w/2016.
oscar	Psycho-Nics Oscar	lr-fbneo	o	o	o	o	o	
osman	Osman	lr-fbneo	o	o	o	o	o	Clone: (candance)
othello	Othello	lr-mame2016	o	o	o	o	o	
othellos	Othello Shiyouyo	advmame	x	o	o	o	o	Sega Titan. advmame is the only Emu that seems to work
othldrby	Othello Derby	lr-mame2016	o	o	o	o	o	
othunder	Operation Thunderbolt	lr-fbneo	o	o	o	o	lg	
ottopz	Ms. Pac-Man (Hack: Crazy Otto)	lr-fbneo	o	o	o	o	o	
otwalls	Off the Wall (Sente)	lr-mame2016	o	o	o	o	-	Need to manually re-map independant movement from racquet swing
outfxies	Outfoxies, The	lr-mame2010	x	o	o	o	o	namcona1.c driver does not work with lr-mame or lr-mame2016 (black screen). 2015 is too slow
outrun	Out Run	lr-fbneo	o	o	o	o	o	Added shift up/down on L/R bumpers. Why not?...
outrundx	Out Run (Deluxe Sitdown)	lr-fbneo	o	o	o	o	o	Different track ordering after the first branch.
outzone	Out Zone	lr-fbneo	o	o	o	o	o	
overtop	Over Top	lr-fbneo	o	o	o	o	o	NEO-GEO
ozmawars	Ozma Wars	lr-fbneo	o	o	o	o	o	
ozon1	Ozon I	lr-fbneo	o	o	o	o	o	
p47	P-47	lr-fbneo	o	o	o	o	o	
p47aces	P-47 Aces	lr-mame2016	x	o	o	o	o	
pacheart	Pac-Man (Bootleg: Newpuc1/Hearts)	lr-fbneo	o	o	o	o	o	
pachifev	Pachifever	lr-mame2016	o	o	o	o	o	
pachiten	Medal Mahjong Pachi-Slot Tengoku	lr-mame2016	o	o	o	o	o	
packbang	[Proto] Pack'n Bang Bang	lr-fbneo	o	o	o	o	o	
pacland	Pac-Land	lr-fbneo	o	o	o	o	o	
pacman	Pac-Man	lr-fbneo	o	o	o	o	o	Perfection
pacmanbl	Pac-Man (Bootleg: Galaxian Hardware)	lr-fbneo	o	o	o	o	o	
pacmania	Pac-Mania	lr-fbneo	o	o	o	o	o	
pacmod	Pac-Man  (Harder)	lr-fbneo	o	o	o	o	o	Two spaces in Game Title for better sorting in EmulationStation
pacnchmp	Pac-Man & Chomp Chomp	lr-fbneo	o	o	o	o	o	
pacnpal	Pac & Pal	lr-fbneo	o	o	o	o	o	
pacplus	Pac-Man Plus	lr-fbneo	o	o	o	o	o	
paddlema	Paddle Mania	lr-fbneo	o	o	o	o	o	
pairlove	[Adult] Pairs Love	lr-fbneo	o	o	o	o	o	
pairs	[Adult] Pairs (Incredible Technologies)	lr-fbneo	o	o	o	o	o	
pairsnb	[Adult] Pairs (Nichibutsu)	lr-mame	o	o	o	o	o	
pairsred	[Ticket] Pairs	lr-fbneo	o	o	o	o	o	
palamed	Palamedes	lr-fbneo	o	o	o	o	o	
pandoras	Pandora's Palace	lr-fbneo	o	o	o	o	o	
pang	Pang	lr-fbneo	o	o	o	o	o	Clone: (pangbold)
pang3	Pang! 3	lr-fbneo	o	o	o	o	o	
pangpang	Pang Pang	lr-fbneo	o	o	o	o	o	Bubble Bobble rip
pangpoms	Pang Pom's	lr-fbneo	o	o	o	o	o	
panic	Space Panic	lr-mame2016	o	o	o	o	o	Download/install samples
panicbom	Bomberman Panic Bomber	lr-fbneo	o	o	o	o	o	NEO-GEO
panicstr	Panic Street	lr-fbneo	o	o	o	o	o	
panther	Panther	lr-mame2016	o	o	o	x	?	No audio; Is vertical aim supposed to be tied to left/right movement?
paperboy	Paperboy	lr-mame2016	o	o	o	o	-	Difficult controls without actual arcade handlebars
paprazzi	[Adult] Paparazzi	lr-fbneo	o	o	o	o	o	
para2dx	[Adult] Paradise 2 Deluxe	lr-mame	o	o	o	o	o	
paradilx	[Adult] Paradise Deluxe	lr-mame	o	o	o	o	o	
paradise	[Adult] Paradise	lr-mame	o	o	o	o	o	
parodius	Parodius Da!	lr-fbneo	o	o	o	o	o	Awesome!
pasha2	Pasha Pasha 2	lr-fbneo	?	x	o	o	o	
pass	Pass	lr-fbneo	o	o	o	o	o	
passsht	Passing Shot	lr-fbneo	o	o	o	o	o	Clone: (cencourt)
pastelg	[Adult] Pastel Gal	lr-mame	o	o	o	o	kb	
pastelis	[Proto] Pastel Island	lr-fbneo	o	o	o	o	o	
patapata	Pata Pata Panic	lr-fbneo	o	o	o	o	o	
pbaction	Pinball Action	lr-fbneo	o	o	o	o	o	
pballoon	Pioneer Balloon	lr-fbneo	o	o	o	o	o	
pbancho	Gyakuten!! Puzzle Bancho	lr-fbneo	o	o	o	o	o	
pbillian	Prebillian	lr-mame2016	o	o	o	o	-	MAME 2003-Plus (same ROM) also shows a strength meter for feedback. 2015 does not, but audio is correct
pbillrd	Perfect Billiards	lr-fbneo	o	o	o	o	o	Game calls itself "Perfect Billiard"... But everything else reads as "Billiards".
pbobbl2n	Puzzle Bobble 2 (Neo-Geo)	lr-fbneo	o	o	o	o	o	NEO-GEO Parent of (pbobble2x)
pbobble	Puzzle Bobble	lr-fbneo	o	o	o	o	o	
pbobble2	Puzzle Bobble 2	lr-fbneo	o	o	o	o	o	
pbobble2x	Puzzle Bobble 2X	lr-fbneo	x	o	o	o	o	Clone of (pbobble2). Original ROM name (pbobbl2x)
pbobble3	Puzzle Bobble 3	lr-fbneo	o	o	o	o	o	
pbobble4	Puzzle Bobble 4	lr-fbneo	o	o	o	o	o	
pbobblen	Bust-A-Move (Neo-Geo)	lr-fbneo	o	o	o	o	o	NEO-GEO
pbobblen	Puzzle Bobble (Neo-Geo)	lr-mame2016		o	o	o	o	NEO-GEO
pbst30	Pit Boss Supertouch 30	lr-mame	x	o	o	o	o	Need newest MAME to see black cards in Run 21.
pcktgal	[Adult] Pocket Gal	lr-mame	o	o	o	o	o	
pcktgal2	[Adult] Pocket Gal 2	lr-mame	o	o	o	o	o	
